Entity,Score
httpie/cli.py::46,0.071334578039377
httpie/cli.py::98,0.0
httpie/cli.py::60,-0.0015822534453568773
httpie/cli.py::89,-0.004153415294061803
httpie/cli.py::72,-0.004746760336070632
httpie/cli.py::79,-0.004972796542550186
httpie/cli.py::68,-0.006329013781427509
httpie/cli.py::70,-0.006329013781427509
httpie/cli.py::77,-0.007515703865445166
httpie/cli.py::74,-0.011075774117498141
httpie/cli.py::57,-0.011938821451329164
httpie/cli.py::42,-0.014240281008211895
httpie/cli.py::61,-0.014240281008211895
httpie/cli.py::62,-0.014240281008211895
httpie/cli.py::43,-0.01582253445356877
httpie/cli.py::45,-0.015822534453568772
httpie/cli.py::48,-0.015822534453568772
